st_name,year,ac_no,ac_name,ac_type,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Madhya Pradesh,1990.0,112,Lormi,GEN,Subhash Chandra Sharma Alias Chhote Pandit,M,Independents,IND,244.0,117662
Madhya Pradesh,1993.0,180,Waraseoni,GEN,R.D. Kathane,M,Republican Party Of India (Kamble),RPI(K),788.0,92941
Madhya Pradesh,2008.0,179,Nepanagar,ST,Ganesh,M,RPI(A),RPI(A),2087.0,152670
Madhya Pradesh,2003.0,130,Sausar,GEN,Om Prakash Balpandey,M,Independent,IND,1188.0,142462
Madhya Pradesh,1977.0,169,Chowki,ST,Ganeshram,M,Independents,IND,477.0,68223
Madhya Pradesh,1990.0,30,Chachoda,GEN,Bhanwarlal Amaser,M,Independents,IND,59.0,112926
Madhya Pradesh,1980.0,48,Bijawar,GEN,Mukund Sakharam Newalkar,M,Bharatiya Janata Party,BJP,15008.0,90825
Madhya Pradesh,1985.0,162,Durg,GEN,Motilal Vora,M,Indian National Congress,INC,53754.0,144833
Madhya Pradesh,1998.0,187,Bichhia,ST,Jhallu Lal Tekam,M,Bharatiya Janata Party,BJP,18307.0,128190
Madhya Pradesh,1993.0,18,Morar,GEN,Girraj,M,Independents,IND,81.0,132800
Madhya Pradesh,2008.0,12,Mehgaon,GEN,Jagdamba Singh Narwariya,M,IND,IND,788.0,210624
Madhya Pradesh,1980.0,58,Pawai,GEN,Jai Prakash,M,Janata Party (Secular) - Ch. Charan Singh,JNP(SC),3834.0,92467
Madhya Pradesh,1980.0,263,Khachrod,GEN,Snehlata Rathi,F,Independents,IND,159.0,87365
Madhya Pradesh,1990.0,103,Raigarh,GEN,C. Jonh,M,Independents,IND,91.0,111718
